wreck_num,wreck_name,wdpa_gid,wdpa_name
19.0,Annapolis HMCS (DDH-265),140004,Halkett bay park
23.0,Um El Faroud MV,209537,Rdumijiet ta' Malta: Ix-Xaqqa sa Wied Moqbol
23.0,Um El Faroud MV,71469,Rdum mic-Cirkewwa sa Benghisa
23.0,Um El Faroud MV,71540,Rdumijiet ta' Malta
23.0,Um El Faroud MV,71644,Rdumijiet ta' Malta: Ix-Xaqqa sa Wied Moqbol
23.0,Um El Faroud MV,203659,Rdumijiet ta' Malta: Ir-Ramla tac-Cirkewwa sal-Ponta ta' Benghisa
28.0,HMNZS Wellington,120434,Taputeranga
37.0,Beyond,164168,Waters off New Jersey
37.0,Beyond,164297,Southern Nearshore
37.0,Beyond,164292,Mid-Atlantic Coastal Waters Area
38.0,Peregrine,164168,Waters off New Jersey
38.0,Peregrine,164297,Southern Nearshore
38.0,Peregrine,164292,Mid-Atlantic Coastal Waters Area
39.0,The Boat,164297,Southern Nearshore
39.0,The Boat,164292,Mid-Atlantic Coastal Waters Area
40.0,Hancock Barge,164168,Waters off New Jersey
40.0,Hancock Barge,164297,Southern Nearshore
40.0,Hancock Barge,164292,Mid-Atlantic Coastal Waters Area
41.0,Sam Berman MV,164168,Waters off New Jersey
41.0,Sam Berman MV,164297,Southern Nearshore
41.0,Sam Berman MV,164292,Mid-Atlantic Coastal Waters Area
42.0,Cape Fear MFV (655734),164297,Southern Nearshore
42.0,Cape Fear MFV (655734),164292,Mid-Atlantic Coastal Waters Area
43.0,Steel Barge No.335,164297,Southern Nearshore
43.0,Steel Barge No.335,164292,Mid-Atlantic Coastal Waters Area
44.0,Captain Sam MFV,164297,Southern Nearshore
44.0,Captain Sam MFV,164292,Mid-Atlantic Coastal Waters Area
45.0,Niagara Falls MFV,164297,Southern Nearshore
45.0,Niagara Falls MFV,164292,Mid-Atlantic Coastal Waters Area
46.0,St. George MFV,164297,Southern Nearshore
46.0,St. George MFV,164292,Mid-Atlantic Coastal Waters Area
47.0,Two Friends MFV,164297,Southern Nearshore
47.0,Two Friends MFV,164292,Mid-Atlantic Coastal Waters Area
48.0,Ana Palmira MFV,164297,Southern Nearshore
48.0,Ana Palmira MFV,164292,Mid-Atlantic Coastal Waters Area
49.0,Connie F.,164168,Waters off New Jersey
49.0,Connie F.,164297,Southern Nearshore
49.0,Connie F.,164292,Mid-Atlantic Coastal Waters Area
50.0,Hancock,164168,Waters off New Jersey
50.0,Hancock,164297,Southern Nearshore
50.0,Hancock,164292,Mid-Atlantic Coastal Waters Area
51.0,Mary N,164168,Waters off New Jersey
51.0,Mary N,164297,Southern Nearshore
51.0,Mary N,164292,Mid-Atlantic Coastal Waters Area
52.0,Alec N,164168,Waters off New Jersey
52.0,Alec N,164297,Southern Nearshore
52.0,Alec N,164292,Mid-Atlantic Coastal Waters Area
53.0,J. J.,164297,Southern Nearshore
53.0,J. J.,164292,Mid-Atlantic Coastal Waters Area
54.0,Unnamed,164297,Southern Nearshore
54.0,Unnamed,164292,Mid-Atlantic Coastal Waters Area
110.0,AR-130 site,164296,Southern Mid-Atlantic Waters
110.0,AR-130 site,164297,Southern Nearshore
110.0,AR-130 site,164292,Mid-Atlantic Coastal Waters Area
111.0,Firefighter (AR-370 site),164296,Southern Mid-Atlantic Waters
111.0,Firefighter (AR-370 site),164292,Mid-Atlantic Coastal Waters Area
112.0,AR-370 site,164296,Southern Mid-Atlantic Waters
112.0,AR-370 site,164292,Mid-Atlantic Coastal Waters Area
113.0,AR-370 site,164296,Southern Mid-Atlantic Waters
113.0,AR-370 site,164292,Mid-Atlantic Coastal Waters Area
114.0,Theodore Parker (AR-315 site),164296,Southern Mid-Atlantic Waters
114.0,Theodore Parker (AR-315 site),164292,Mid-Atlantic Coastal Waters Area
115.0,Alexander Ramsey (AR-370 site),164296,Southern Mid-Atlantic Waters
115.0,Alexander Ramsey (AR-370 site),164292,Mid-Atlantic Coastal Waters Area
116.0,Finest kind (AR-315 site),164296,Southern Mid-Atlantic Waters
