wreck_num,wreck_name,wdpa_gid,wdpa_name,wdpaid,wdpa_pid,pa_def,orig_name,desig,desig_eng,desig_type,iucn_cat,int_crit,marine,rep_m_area,gis_m_area,rep_area,gis_area,no_take,no_tk_area,status,status_yr,gov_type,own_type,mang_auth,mang_plan,verif,metadataid,sub_loc,parent_iso,iso3
19.0,Annapolis HMCS (DDH-265),140004,Halkett bay park,65216.0,NA,1,Halkett bay park,A - Park,A - Park,National,II,Not Applicable,2,0.0,0.0,0.18,0.181148943442564,Not Reported,0.0,Designated,1988,Sub-national ministry or agency,State,Government of British Columbia,http://www.env.gov.bc.ca/bcparks/,State Verified,1868,CA-BC,CAN,CAN
23.0,Um El Faroud MV,209537,Rdumijiet ta' Malta: Ix-Xaqqa sa Wied Moqbol,555540725.0,555540725,1,Rdumijiet ta' Malta: Ix-Xaqqa sa Wied Moqbol,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,1,0.0,0.18286065672,0.0,1.39889100572,Not Reported,0.0,Designated,2006,Federal or national ministry or agency,Not Reported,Malta Environment and Planning Authority (MEPA),Not Reported,State Verified,1832,Not Reported,MLT,MLT
23.0,Um El Faroud MV,71469,Rdum mic-Cirkewwa sa Benghisa,174729.0,174729,1,Rdum mic-Cirkewwa sa Benghisa,Zona ta' Importanza Ekologika,Area of Ecological Importance,National,Ib,Not Applicable,0,0.0,0.0,23.2760009,23.3411147914621,Not Applicable,0.0,Designated,1996,Federal or national ministry or agency,Not Reported,"Malta Environment and Planning Authority, St. Francis Ravelin, Floriana, FRN 1230, Malta",Not Reported,State Verified,1839,MT,MLT,MLT
23.0,Um El Faroud MV,71540,Rdumijiet ta' Malta,330728.0,330728,1,Rdumijiet ta' Malta,Zoni Specjali ta' Konservazzjoni - Importanza Internazzjonali,Special Areas of Conservation - International Importance,National,Ib,Not Applicable,0,0.0,0.0,23.1630004,23.228062430945,Not Applicable,0.0,Designated,2003,Federal or national ministry or agency,Not Reported,"Malta Environment and Planning Authority, St. Francis Ravelin, Floriana, FRN 1230, Malta",Not Reported,State Verified,1839,MT,MLT,MLT
23.0,Um El Faroud MV,71644,Rdumijiet ta' Malta: Ix-Xaqqa sa Wied Moqbol,555552412.0,555552412,1,Rdumijiet ta' Malta: Ix-Xaqqa sa Wied Moqbol,Zoni ta' Harsien Specjali,Special Protection Areas,National,IV,Not Applicable,0,0.0,0.0,1.39804,1.4024838033322,Not Applicable,0.0,Designated,2007,Federal or national ministry or agency,Not Reported,"Malta Environment and Planning Authority, St. Francis Ravelin, Floriana, FRN 1230, Malta",Not Reported,State Verified,1839,MT,MLT,MLT
23.0,Um El Faroud MV,203659,Rdumijiet ta' Malta: Ir-Ramla tac-Cirkewwa sal-Ponta ta' Benghisa,555530251.0,555530251,1,Rdumijiet ta' Malta: Ir-Ramla tac-Cirkewwa sal-Ponta ta' Benghisa,Site of Community Importance (Habitats Directive),Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Applicable,0,0.0,0.812619,23.1725,23.1858243012,Not Applicable,0.0,Designated,2004,Federal or national ministry or agency,Not Reported,Malta Environment And Planning Authority (Mepa),Not Reported,State Verified,1832,Not Reported,MLT,MLT
28.0,HMNZS Wellington,120434,Taputeranga,555565790.0,555565790,1,Taputeranga,Marine Reserve,Marine Reserve,National,Ia,Not Applicable,2,8.545523,8.55446964057296,8.54552313894,8.55446964057296,All,8.545523,Designated,2008,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-WGN,NZL,NZL
37.0,Beyond,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
37.0,Beyond,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
37.0,Beyond,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
